[08:15:07.646] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20190827
[08:15:08.155] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20191213
[08:15:08.664] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20170221
[08:15:09.174] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20181005
[08:15:09.689] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20180703
[08:15:10.201] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210803
[08:15:10.713] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200220
[08:15:11.224] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200122
[08:15:11.736] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20230907
[08:15:12.248] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20240830
[08:15:12.760] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20230706
[08:15:13.274] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20190716
[08:15:13.786] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20240814
[08:15:14.297] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20180611
[08:15:14.810] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20230904
[08:15:15.322] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20180518
[08:15:15.832] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20170914
[08:15:16.345] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20230131
[08:15:17.440] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:15:21.464] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:15:21.979] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20211125
[08:15:31.757] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20171123
[08:15:34.777] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20171123
[08:15:35.294] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20231114
[08:16:30.141] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:16:32.806] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:16:33.316] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20171214
[08:16:33.829] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20190705
[08:16:34.342] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210111
[08:16:34.855] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20220725
[08:16:35.952] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:16:39.983] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:16:40.610] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20171214
[08:18:06.700] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:18:06.701] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:18:09.556] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:18:10.079] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20171214
[08:18:10.593] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20190705
[08:18:11.117] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210111
[08:18:11.617] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20220725
[08:18:16.177] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:19:19.379] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:19:30.847] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:19:33.875] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:19:34.391] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20180627
[08:20:24.389] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:20:41.584] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:21:02.380] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:21:19.421] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:21:22.070] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20160104
[08:21:22.783] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20190226
[08:21:23.498] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20170616
[08:21:24.210] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200804
[08:21:24.923] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20220719
[08:21:25.637] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210201
[08:21:26.353] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20211117
[08:21:27.066] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20240619
[08:21:27.784] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20230215
[08:21:28.496] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20220413
[08:21:29.209] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20211102
[08:21:29.922] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20211018
[08:21:30.636] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200603
[08:21:31.353] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20200612
[08:21:32.067] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20211102
[08:21:32.781] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20240423
[08:21:33.496] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20210607
[08:21:34.209] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20190902
[08:21:34.926] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20190710
[08:21:35.639] Fragment Rerender - Config: ('KRWQ3L', '20160104', '20260123'), Selected: 20240805
[08:21:36.961] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:21:40.966] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:21:41.681] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20180529
[08:21:43.404] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20230822
[08:21:45.123] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20170303
[08:21:46.844] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20170419
[08:21:48.570] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20240325
[08:21:50.291] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20190513
[08:21:52.017] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20241017
[08:21:53.739] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20180126
[08:21:55.459] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20170324
[08:21:57.176] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20221221
[08:21:58.902] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20171102
[08:22:00.627] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20201105
[08:22:02.349] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20181203
[08:22:04.080] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20200729
[08:22:05.813] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20240502
[08:22:07.538] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20211119
[08:22:09.259] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20210503
[08:22:10.986] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20190528
[08:22:12.710] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20170224
[08:22:14.459] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20210209
[08:22:17.489] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20210209
[08:22:18.195] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20230614
[08:22:19.914] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20201021
